policy_id,lookback,threshold,switching_cost_bps,sample,method,mean_exposure,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
MG_L5_T-2_C50,5,-0.02,50.0,development,QAUR,0.8620689655172413,604,-0.16349004072337847,-0.07177446396908849,0.15683960120777138,-0.4576297275456989,-0.5023248077558392,-0.4769573879820318
MG_L5_T-2_C50,5,-0.02,50.0,historical_holdout,AUR,1.0,312,0.18527413790450242,0.1471570638480173,0.13814042888808578,1.0652715141577875,1.3671019587374638,-0.13096078514839304
MG_L5_T-2_C50,5,-0.02,50.0,historical_holdout,QAUR,1.0,312,0.24855810479343488,0.1963785346582212,0.1415559870500527,1.38728526253562,1.8176326669913965,-0.13096078514839304
MG_L5_T-2_C50,5,-0.02,50.0,observed_2026,AUR,1.0,160,0.18052929449148492,0.29873609351657837,0.1597043386682117,1.8705571558528997,2.8770990645859573,-0.10778780420055822
MG_L5_T-2_C50,5,-0.02,50.0,observed_2026,QAUR,1.0,160,0.18046016932089115,0.29861632198451704,0.15971129254617944,1.869725785972048,2.8757220984192573,-0.10778780420055745
MG_L5_T-2_C100,5,-0.02,100.0,bridge,AUR,1.0,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
MG_L5_T-2_C100,5,-0.02,100.0,bridge,QAUR,1.0,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
MG_L5_T-2_C100,5,-0.02,100.0,development,AUR,0.8620689655172413,604,-0.19248976825764685,-0.08533841816557586,0.1575572660055188,-0.5416342916396295,-0.5960931426102428,-0.4822096992287713
MG_L5_T-2_C100,5,-0.02,100.0,development,QAUR,0.8620689655172413,604,-0.19248976825764685,-0.08533841816557586,0.1575572660055188,-0.5416342916396295,-0.5960931426102428,-0.4822096992287713
MG_L5_T-2_C100,5,-0.02,100.0,historical_holdout,AUR,1.0,312,0.18527413790450242,0.1471570638480173,0.13814042888808578,1.0652715141577875,1.3671019587374638,-0.13096078514839304
MG_L5_T-2_C100,5,-0.02,100.0,historical_holdout,QAUR,1.0,312,0.24855810479343488,0.1963785346582212,0.1415559870500527,1.38728526253562,1.8176326669913965,-0.13096078514839304
MG_L5_T-2_C100,5,-0.02,100.0,observed_2026,AUR,1.0,160,0.18052929449148492,0.29873609351657837,0.1597043386682117,1.8705571558528997,2.8770990645859573,-0.10778780420055822
MG_L5_T-2_C100,5,-0.02,100.0,observed_2026,QAUR,1.0,160,0.18046016932089115,0.29861632198451704,0.15971129254617944,1.869725785972048,2.8757220984192573,-0.10778780420055745
MG_L5_T0_C0,5,0.0,0.0,bridge,AUR,1.0,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
MG_L5_T0_C0,5,0.0,0.0,bridge,QAUR,1.0,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
MG_L5_T0_C0,5,0.0,0.0,development,AUR,0.6206896551724138,604,-0.07834342764574587,-0.0334650078873685,0.13906528436312565,-0.2406424294936547,-0.22452923726311533,-0.3730690289787324
MG_L5_T0_C0,5,0.0,0.0,development,QAUR,0.6206896551724138,604,-0.07834342764574587,-0.0334650078873685,0.13906528436312565,-0.2406424294936547,-0.22452923726311533,-0.3730690289787324
