fold,decision_time,market_growth,exposure,lookback,config_id
27,2024-07-01,0.05820908568430583,1.0,40,C1_NMV_M
28,2024-08-01,-0.057046721957434876,0.0,40,C1_NMV_M
29,2024-09-01,-0.05334933612430348,0.0,40,C1_NMV_M
30,2024-10-01,0.010484723971359466,1.0,40,C1_NMV_M
31,2024-11-01,0.005997231222915955,1.0,40,C1_NMV_M
32,2024-12-01,0.018291793158282665,1.0,40,C1_NMV_M
33,2025-01-01,0.04411806123156703,1.0,40,C1_NMV_M
34,2025-02-01,0.025884867742993478,1.0,40,C1_NMV_M
35,2025-03-01,0.05901161916622977,1.0,40,C1_NMV_M
36,2025-04-01,0.046935567238352016,1.0,40,C1_NMV_M
37,2025-05-01,-0.09176626425902878,0.0,40,C1_NMV_M
38,2025-06-01,-0.01847632085994877,0.0,40,C1_NMV_M
39,2025-07-01,0.0710680094026288,1.0,40,C1_NMV_M
40,2025-08-01,0.10897101891172079,1.0,40,C1_NMV_M
41,2025-09-01,0.13099714419575048,1.0,40,C1_NMV_M
42,2025-10-01,0.045021672146392744,1.0,40,C1_NMV_M
43,2025-11-01,-0.02499763157691315,0.0,40,C1_NMV_M
44,2025-12-01,-0.012542136914489022,0.0,40,C1_NMV_M
45,2026-01-01,0.013030920075087105,1.0,40,C1_NMV_M
46,2026-02-01,0.012432892669185014,1.0,40,C1_NMV_M
47,2026-03-01,0.0341506476078528,1.0,40,C1_NMV_M
48,2026-04-01,-0.022817156369280944,0.0,40,C1_NMV_M
49,2026-05-01,-0.03731084178597943,0.0,40,C1_NMV_M
50,2026-06-01,0.0001098722976804467,1.0,40,C1_NMV_M
51,2026-07-01,-0.010141450016540987,0.0,40,C1_NMV_M
52,2026-08-01,-0.03308380588478732,0.0,40,C1_NMV_M
0,2022-04-01,,1.0,0,C1_NMVT_X
1,2022-05-01,,1.0,0,C1_NMVT_X
2,2022-06-01,,1.0,0,C1_NMVT_X
3,2022-07-01,,1.0,0,C1_NMVT_X
4,2022-08-01,,1.0,0,C1_NMVT_X
5,2022-09-01,,1.0,0,C1_NMVT_X
6,2022-10-01,,1.0,0,C1_NMVT_X
7,2022-11-01,,1.0,0,C1_NMVT_X
8,2022-12-01,,1.0,0,C1_NMVT_X
9,2023-01-01,,1.0,0,C1_NMVT_X
10,2023-02-01,,1.0,0,C1_NMVT_X
11,2023-03-01,,1.0,0,C1_NMVT_X
12,2023-04-01,,1.0,0,C1_NMVT_X
13,2023-05-01,,1.0,0,C1_NMVT_X
14,2023-06-01,,1.0,0,C1_NMVT_X
15,2023-07-01,,1.0,0,C1_NMVT_X
16,2023-08-01,,1.0,0,C1_NMVT_X
17,2023-09-01,,1.0,0,C1_NMVT_X
18,2023-10-01,,1.0,0,C1_NMVT_X
19,2023-11-01,,1.0,0,C1_NMVT_X
20,2023-12-01,,1.0,0,C1_NMVT_X
21,2024-01-01,,1.0,0,C1_NMVT_X
22,2024-02-01,,1.0,0,C1_NMVT_X
23,2024-03-01,,1.0,0,C1_NMVT_X
24,2024-04-01,,1.0,0,C1_NMVT_X
25,2024-05-01,,1.0,0,C1_NMVT_X
26,2024-06-01,,1.0,0,C1_NMVT_X
27,2024-07-01,,1.0,0,C1_NMVT_X
28,2024-08-01,,1.0,0,C1_NMVT_X
29,2024-09-01,,1.0,0,C1_NMVT_X
30,2024-10-01,,1.0,0,C1_NMVT_X
31,2024-11-01,,1.0,0,C1_NMVT_X
32,2024-12-01,,1.0,0,C1_NMVT_X
33,2025-01-01,,1.0,0,C1_NMVT_X
34,2025-02-01,,1.0,0,C1_NMVT_X
35,2025-03-01,,1.0,0,C1_NMVT_X
36,2025-04-01,,1.0,0,C1_NMVT_X
37,2025-05-01,,1.0,0,C1_NMVT_X
38,2025-06-01,,1.0,0,C1_NMVT_X
39,2025-07-01,,1.0,0,C1_NMVT_X
40,2025-08-01,,1.0,0,C1_NMVT_X
41,2025-09-01,,1.0,0,C1_NMVT_X
42,2025-10-01,,1.0,0,C1_NMVT_X
43,2025-11-01,,1.0,0,C1_NMVT_X
44,2025-12-01,,1.0,0,C1_NMVT_X
45,2026-01-01,,1.0,0,C1_NMVT_X
46,2026-02-01,,1.0,0,C1_NMVT_X
47,2026-03-01,,1.0,0,C1_NMVT_X
48,2026-04-01,,1.0,0,C1_NMVT_X
49,2026-05-01,,1.0,0,C1_NMVT_X
50,2026-06-01,,1.0,0,C1_NMVT_X
51,2026-07-01,,1.0,0,C1_NMVT_X
52,2026-08-01,,1.0,0,C1_NMVT_X
0,2022-04-01,0.038734642223986704,1.0,20,C1_NMVT_X
1,2022-05-01,-0.1473461990126016,0.0,20,C1_NMVT_X
2,2022-06-01,-0.06762736003782344,0.0,20,C1_NMVT_X
3,2022-07-01,-0.11402831344944675,0.0,20,C1_NMVT_X
4,2022-08-01,0.0685274080468854,1.0,20,C1_NMVT_X
5,2022-09-01,0.026821522127197683,1.0,20,C1_NMVT_X
6,2022-10-01,-0.10494631480181837,0.0,20,C1_NMVT_X
7,2022-11-01,-0.10888914515298753,0.0,20,C1_NMVT_X
8,2022-12-01,-0.023103354016403288,0.0,20,C1_NMVT_X
9,2023-01-01,-0.0519851743987606,0.0,20,C1_NMVT_X
10,2023-02-01,0.0802990822643308,1.0,20,C1_NMVT_X
11,2023-03-01,-0.008711538515415285,0.0,20,C1_NMVT_X
12,2023-04-01,-0.002756384798810574,0.0,20,C1_NMVT_X
13,2023-05-01,0.024021846522340073,1.0,20,C1_NMVT_X
14,2023-06-01,0.1293279156773144,1.0,20,C1_NMVT_X
15,2023-07-01,0.013837161739149506,1.0,20,C1_NMVT_X
16,2023-08-01,0.04271832040199586,1.0,20,C1_NMVT_X
17,2023-09-01,0.01690125446893287,1.0,20,C1_NMVT_X
18,2023-10-01,-0.04243989455888264,0.0,20,C1_NMVT_X
19,2023-11-01,-0.08220674747407741,0.0,20,C1_NMVT_X
20,2023-12-01,0.03983426573014004,1.0,20,C1_NMVT_X
21,2024-01-01,0.03109780137640361,1.0,20,C1_NMVT_X
22,2024-02-01,-0.01285688004969432,0.0,20,C1_NMVT_X
23,2024-03-01,0.03775342915175184,1.0,20,C1_NMVT_X
24,2024-04-01,0.01891135508719488,1.0,20,C1_NMVT_X
25,2024-05-01,-0.06251566979809231,0.0,20,C1_NMVT_X
26,2024-06-01,0.061709180962184584,1.0,20,C1_NMVT_X
27,2024-07-01,0.0013359232025098589,1.0,20,C1_NMVT_X
28,2024-08-01,-0.06087892922579796,0.0,20,C1_NMVT_X
29,2024-09-01,0.003063723753682579,1.0,20,C1_NMVT_X
30,2024-10-01,0.007398333766777787,1.0,20,C1_NMVT_X
31,2024-11-01,0.007175878845339767,1.0,20,C1_NMVT_X
32,2024-12-01,0.011036716174821493,1.0,20,C1_NMVT_X
33,2025-01-01,0.03458179937296735,1.0,20,C1_NMVT_X
34,2025-02-01,-0.011780046746619144,0.0,20,C1_NMVT_X
35,2025-03-01,0.07163553587416538,1.0,20,C1_NMVT_X
36,2025-04-01,-0.015302174989076933,0.0,20,C1_NMVT_X
37,2025-05-01,-0.07148422910107566,0.0,20,C1_NMVT_X
38,2025-06-01,0.05708886149538195,1.0,20,C1_NMVT_X
39,2025-07-01,0.010707527862465982,1.0,20,C1_NMVT_X
40,2025-08-01,0.08379907805364795,1.0,20,C1_NMVT_X
41,2025-09-01,0.0435487232807612,1.0,20,C1_NMVT_X
42,2025-10-01,7.56095499103715e-05,1.0,20,C1_NMVT_X
43,2025-11-01,-0.007470167452396037,0.0,20,C1_NMVT_X
44,2025-12-01,0.01624546904792945,1.0,20,C1_NMVT_X
45,2026-01-01,-0.004247158256413308,0.0,20,C1_NMVT_X
46,2026-02-01,0.017501734296669458,1.0,20,C1_NMVT_X
47,2026-03-01,0.014970499140492866,1.0,20,C1_NMVT_X
48,2026-04-01,-0.039075640698391756,0.0,20,C1_NMVT_X
49,2026-05-01,0.013333278382513303,1.0,20,C1_NMVT_X
50,2026-06-01,-0.010747058086145955,0.0,20,C1_NMVT_X
51,2026-07-01,0.005209080118228737,1.0,20,C1_NMVT_X
52,2026-08-01,-0.0399677551045976,0.0,20,C1_NMVT_X
0,2022-04-01,0.09147315131480638,1.0,30,C1_NMVT_X
1,2022-05-01,-0.130001579832126,0.0,30,C1_NMVT_X
2,2022-06-01,-0.14080594425139403,0.0,30,C1_NMVT_X
3,2022-07-01,-0.09177477008190527,0.0,30,C1_NMVT_X
4,2022-08-01,0.11409139778866861,1.0,30,C1_NMVT_X
5,2022-09-01,0.07103619050972099,1.0,30,C1_NMVT_X
6,2022-10-01,-0.10817215022286031,0.0,30,C1_NMVT_X
7,2022-11-01,-0.2008003722511168,0.0,30,C1_NMVT_X
8,2022-12-01,-0.09764707062324074,0.0,30,C1_NMVT_X
9,2023-01-01,0.09512151824426729,1.0,30,C1_NMVT_X
10,2023-02-01,0.03170827193265624,1.0,30,C1_NMVT_X
11,2023-03-01,0.03592080452651669,1.0,30,C1_NMVT_X
12,2023-04-01,-0.00391085762398069,0.0,30,C1_NMVT_X
13,2023-05-01,0.014897676467314103,1.0,30,C1_NMVT_X
14,2023-06-01,0.13620413433401857,1.0,30,C1_NMVT_X
15,2023-07-01,0.0931364121141185,1.0,30,C1_NMVT_X
16,2023-08-01,0.05271473013604533,1.0,30,C1_NMVT_X
17,2023-09-01,0.04692701211276806,1.0,30,C1_NMVT_X
18,2023-10-01,-0.07638485168132958,0.0,30,C1_NMVT_X
19,2023-11-01,-0.14226807364052918,0.0,30,C1_NMVT_X
20,2023-12-01,-0.004822411899847223,0.0,30,C1_NMVT_X
21,2024-01-01,0.03930371974382085,1.0,30,C1_NMVT_X
22,2024-02-01,0.020432119435934926,1.0,30,C1_NMVT_X
23,2024-03-01,0.0377803398340526,1.0,30,C1_NMVT_X
24,2024-04-01,0.04302761093162988,1.0,30,C1_NMVT_X
25,2024-05-01,-0.044526337140654904,0.0,30,C1_NMVT_X
26,2024-06-01,0.05500683389223582,1.0,30,C1_NMVT_X
27,2024-07-01,0.024261994919728913,1.0,30,C1_NMVT_X
28,2024-08-01,-0.06360496767309076,0.0,30,C1_NMVT_X
29,2024-09-01,-0.042160670007913126,0.0,30,C1_NMVT_X
30,2024-10-01,0.00938647198194209,1.0,30,C1_NMVT_X
31,2024-11-01,0.005396174323750946,1.0,30,C1_NMVT_X
32,2024-12-01,0.010980076795036542,1.0,30,C1_NMVT_X
33,2025-01-01,0.0580317290338046,1.0,30,C1_NMVT_X
34,2025-02-01,0.008645211830568877,1.0,30,C1_NMVT_X
35,2025-03-01,0.08754876887216367,1.0,30,C1_NMVT_X
36,2025-04-01,0.00848867722709512,1.0,30,C1_NMVT_X
37,2025-05-01,-0.08134507696186388,0.0,30,C1_NMVT_X
38,2025-06-01,0.07268908997827261,1.0,30,C1_NMVT_X
39,2025-07-01,0.04366618978347092,1.0,30,C1_NMVT_X
40,2025-08-01,0.10081369076385793,1.0,30,C1_NMVT_X
41,2025-09-01,0.06760704478325508,1.0,30,C1_NMVT_X
42,2025-10-01,0.009747704049341,1.0,30,C1_NMVT_X
43,2025-11-01,-0.03173028365208308,0.0,30,C1_NMVT_X
44,2025-12-01,0.03892282426212157,1.0,30,C1_NMVT_X
45,2026-01-01,0.007100792207989537,1.0,30,C1_NMVT_X
46,2026-02-01,0.028277882195941517,1.0,30,C1_NMVT_X
47,2026-03-01,0.0289756740436502,1.0,30,C1_NMVT_X
48,2026-04-01,-0.023402721203916732,0.0,30,C1_NMVT_X
49,2026-05-01,0.008201866397478996,1.0,30,C1_NMVT_X
50,2026-06-01,-0.008845996241597653,0.0,30,C1_NMVT_X
51,2026-07-01,0.002656941114178135,1.0,30,C1_NMVT_X
52,2026-08-01,-0.040424827419010434,0.0,30,C1_NMVT_X
0,2022-04-01,0.1966402743188178,1.0,40,C1_NMVT_X
1,2022-05-01,-0.11639226078532583,0.0,40,C1_NMVT_X
2,2022-06-01,-0.2202298084893901,0.0,40,C1_NMVT_X
3,2022-07-01,-0.15553445858879267,0.0,40,C1_NMVT_X
4,2022-08-01,-0.039602468667660484,0.0,40,C1_NMVT_X
5,2022-09-01,0.16361403501133176,1.0,40,C1_NMVT_X
6,2022-10-01,-0.08093961257924542,0.0,40,C1_NMVT_X
7,2022-11-01,-0.23922050064658973,0.0,40,C1_NMVT_X
8,2022-12-01,-0.12801653734476848,0.0,40,C1_NMVT_X
9,2023-01-01,-0.029268832800496858,0.0,40,C1_NMVT_X
10,2023-02-01,0.07320543188960649,1.0,40,C1_NMVT_X
11,2023-03-01,0.07088801520101717,1.0,40,C1_NMVT_X
12,2023-04-01,-0.011961146461099248,0.0,40,C1_NMVT_X
13,2023-05-01,0.021199248270935778,1.0,40,C1_NMVT_X
14,2023-06-01,0.13302593776308447,1.0,40,C1_NMVT_X
15,2023-07-01,0.14439982265881457,1.0,40,C1_NMVT_X
16,2023-08-01,0.06380030999309683,1.0,40,C1_NMVT_X
17,2023-09-01,0.08199155971320282,1.0,40,C1_NMVT_X
18,2023-10-01,-0.0384385784048652,0.0,40,C1_NMVT_X
19,2023-11-01,-0.15670761199326066,0.0,40,C1_NMVT_X
20,2023-12-01,-0.012681230673926791,0.0,40,C1_NMVT_X
21,2024-01-01,0.07217082519019469,1.0,40,C1_NMVT_X
22,2024-02-01,0.006704408706444731,1.0,40,C1_NMVT_X
23,2024-03-01,0.0368007035855451,1.0,40,C1_NMVT_X
24,2024-04-01,0.06373737283032743,1.0,40,C1_NMVT_X
25,2024-05-01,-0.030951272266998342,0.0,40,C1_NMVT_X
26,2024-06-01,0.005290635046277803,1.0,40,C1_NMVT_X
27,2024-07-01,0.05820908568430583,1.0,40,C1_NMVT_X
28,2024-08-01,-0.057046721957434876,0.0,40,C1_NMVT_X
29,2024-09-01,-0.05334933612430348,0.0,40,C1_NMVT_X
30,2024-10-01,0.010484723971359466,1.0,40,C1_NMVT_X
31,2024-11-01,0.005997231222915955,1.0,40,C1_NMVT_X
32,2024-12-01,0.018291793158282665,1.0,40,C1_NMVT_X
33,2025-01-01,0.04411806123156703,1.0,40,C1_NMVT_X
34,2025-02-01,0.025884867742993478,1.0,40,C1_NMVT_X
35,2025-03-01,0.05901161916622977,1.0,40,C1_NMVT_X
36,2025-04-01,0.046935567238352016,1.0,40,C1_NMVT_X
37,2025-05-01,-0.09176626425902878,0.0,40,C1_NMVT_X
38,2025-06-01,-0.01847632085994877,0.0,40,C1_NMVT_X
39,2025-07-01,0.0710680094026288,1.0,40,C1_NMVT_X
40,2025-08-01,0.10897101891172079,1.0,40,C1_NMVT_X
41,2025-09-01,0.13099714419575048,1.0,40,C1_NMVT_X
42,2025-10-01,0.045021672146392744,1.0,40,C1_NMVT_X
43,2025-11-01,-0.02499763157691315,0.0,40,C1_NMVT_X
44,2025-12-01,-0.012542136914489022,0.0,40,C1_NMVT_X
45,2026-01-01,0.013030920075087105,1.0,40,C1_NMVT_X
46,2026-02-01,0.012432892669185014,1.0,40,C1_NMVT_X
47,2026-03-01,0.0341506476078528,1.0,40,C1_NMVT_X
48,2026-04-01,-0.022817156369280944,0.0,40,C1_NMVT_X
49,2026-05-01,-0.03731084178597943,0.0,40,C1_NMVT_X
50,2026-06-01,0.0001098722976804467,1.0,40,C1_NMVT_X
51,2026-07-01,-0.010141450016540987,0.0,40,C1_NMVT_X
52,2026-08-01,-0.03308380588478732,0.0,40,C1_NMVT_X
0,2022-04-01,,1.0,0,C1_NMVT_M
1,2022-05-01,,1.0,0,C1_NMVT_M
2,2022-06-01,,1.0,0,C1_NMVT_M
3,2022-07-01,,1.0,0,C1_NMVT_M
4,2022-08-01,,1.0,0,C1_NMVT_M
5,2022-09-01,,1.0,0,C1_NMVT_M
6,2022-10-01,,1.0,0,C1_NMVT_M
7,2022-11-01,,1.0,0,C1_NMVT_M
8,2022-12-01,,1.0,0,C1_NMVT_M
9,2023-01-01,,1.0,0,C1_NMVT_M
10,2023-02-01,,1.0,0,C1_NMVT_M
11,2023-03-01,,1.0,0,C1_NMVT_M
12,2023-04-01,,1.0,0,C1_NMVT_M
13,2023-05-01,,1.0,0,C1_NMVT_M
14,2023-06-01,,1.0,0,C1_NMVT_M
15,2023-07-01,,1.0,0,C1_NMVT_M
16,2023-08-01,,1.0,0,C1_NMVT_M
17,2023-09-01,,1.0,0,C1_NMVT_M
18,2023-10-01,,1.0,0,C1_NMVT_M
19,2023-11-01,,1.0,0,C1_NMVT_M
20,2023-12-01,,1.0,0,C1_NMVT_M
21,2024-01-01,,1.0,0,C1_NMVT_M
22,2024-02-01,,1.0,0,C1_NMVT_M
23,2024-03-01,,1.0,0,C1_NMVT_M
24,2024-04-01,,1.0,0,C1_NMVT_M
25,2024-05-01,,1.0,0,C1_NMVT_M
26,2024-06-01,,1.0,0,C1_NMVT_M
27,2024-07-01,,1.0,0,C1_NMVT_M
28,2024-08-01,,1.0,0,C1_NMVT_M
29,2024-09-01,,1.0,0,C1_NMVT_M
30,2024-10-01,,1.0,0,C1_NMVT_M
31,2024-11-01,,1.0,0,C1_NMVT_M
32,2024-12-01,,1.0,0,C1_NMVT_M
33,2025-01-01,,1.0,0,C1_NMVT_M
34,2025-02-01,,1.0,0,C1_NMVT_M
35,2025-03-01,,1.0,0,C1_NMVT_M
36,2025-04-01,,1.0,0,C1_NMVT_M
37,2025-05-01,,1.0,0,C1_NMVT_M
38,2025-06-01,,1.0,0,C1_NMVT_M
39,2025-07-01,,1.0,0,C1_NMVT_M
40,2025-08-01,,1.0,0,C1_NMVT_M
41,2025-09-01,,1.0,0,C1_NMVT_M
42,2025-10-01,,1.0,0,C1_NMVT_M
43,2025-11-01,,1.0,0,C1_NMVT_M
44,2025-12-01,,1.0,0,C1_NMVT_M
45,2026-01-01,,1.0,0,C1_NMVT_M
46,2026-02-01,,1.0,0,C1_NMVT_M
47,2026-03-01,,1.0,0,C1_NMVT_M
48,2026-04-01,,1.0,0,C1_NMVT_M
49,2026-05-01,,1.0,0,C1_NMVT_M
50,2026-06-01,,1.0,0,C1_NMVT_M
51,2026-07-01,,1.0,0,C1_NMVT_M
52,2026-08-01,,1.0,0,C1_NMVT_M
0,2022-04-01,0.038734642223986704,1.0,20,C1_NMVT_M
1,2022-05-01,-0.1473461990126016,0.0,20,C1_NMVT_M
2,2022-06-01,-0.06762736003782344,0.0,20,C1_NMVT_M
3,2022-07-01,-0.11402831344944675,0.0,20,C1_NMVT_M
4,2022-08-01,0.0685274080468854,1.0,20,C1_NMVT_M
5,2022-09-01,0.026821522127197683,1.0,20,C1_NMVT_M
6,2022-10-01,-0.10494631480181837,0.0,20,C1_NMVT_M
7,2022-11-01,-0.10888914515298753,0.0,20,C1_NMVT_M
8,2022-12-01,-0.023103354016403288,0.0,20,C1_NMVT_M
9,2023-01-01,-0.0519851743987606,0.0,20,C1_NMVT_M
10,2023-02-01,0.0802990822643308,1.0,20,C1_NMVT_M
11,2023-03-01,-0.008711538515415285,0.0,20,C1_NMVT_M
12,2023-04-01,-0.002756384798810574,0.0,20,C1_NMVT_M
13,2023-05-01,0.024021846522340073,1.0,20,C1_NMVT_M
14,2023-06-01,0.1293279156773144,1.0,20,C1_NMVT_M
15,2023-07-01,0.013837161739149506,1.0,20,C1_NMVT_M
16,2023-08-01,0.04271832040199586,1.0,20,C1_NMVT_M
17,2023-09-01,0.01690125446893287,1.0,20,C1_NMVT_M
18,2023-10-01,-0.04243989455888264,0.0,20,C1_NMVT_M
19,2023-11-01,-0.08220674747407741,0.0,20,C1_NMVT_M
20,2023-12-01,0.03983426573014004,1.0,20,C1_NMVT_M
21,2024-01-01,0.03109780137640361,1.0,20,C1_NMVT_M
22,2024-02-01,-0.01285688004969432,0.0,20,C1_NMVT_M
23,2024-03-01,0.03775342915175184,1.0,20,C1_NMVT_M
24,2024-04-01,0.01891135508719488,1.0,20,C1_NMVT_M
25,2024-05-01,-0.06251566979809231,0.0,20,C1_NMVT_M
26,2024-06-01,0.061709180962184584,1.0,20,C1_NMVT_M
27,2024-07-01,0.0013359232025098589,1.0,20,C1_NMVT_M
28,2024-08-01,-0.06087892922579796,0.0,20,C1_NMVT_M
29,2024-09-01,0.003063723753682579,1.0,20,C1_NMVT_M
30,2024-10-01,0.007398333766777787,1.0,20,C1_NMVT_M
31,2024-11-01,0.007175878845339767,1.0,20,C1_NMVT_M
